vaccine,target_organism,iso3_country,introduction_year,life_expectancy_pre_window_mean,life_expectancy_post_window_mean,life_expectancy_change_post_minus_pre,resistance_rate_pre_window_mean,resistance_rate_post_window_mean,resistance_rate_change_post_minus_pre,n_amr_years_pre_window,n_amr_years_post_window,resistance_window_status,pre_window_years,post_window_years,estimation_method,version,date_added
PCV,Streptococcus pneumoniae,RUS,2014,70.32548780487807,72.73252032520325,2.4070325203251883,,,,0,0,no_amr_surveillance_in_either_window,2012 to 2013,2017 to 2019,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,SAU,2009,75.18350000000001,76.57433333333334,1.3908333333333331,,,,0,0,no_amr_surveillance_in_either_window,2007 to 2008,2012 to 2014,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,SGP,2009,80.6158536585366,82.24552845528456,1.6296747967479632,,,,0,0,no_amr_surveillance_in_either_window,2007 to 2008,2012 to 2014,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,SRB,2018,75.61341463414635,74.71951219512196,-0.8939024390243873,,,,0,0,no_amr_surveillance_in_either_window,2016 to 2017,2021 to 2023,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,SVK,2009,74.45609756097562,76.44471544715448,1.988617886178858,,,,0,0,no_amr_surveillance_in_either_window,2007 to 2008,2012 to 2014,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,SVN,2015,80.7,81.14634146341463,0.4463414634146261,,,,0,0,no_amr_surveillance_in_either_window,2013 to 2014,2018 to 2020,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,SWE,2007,80.64756097560976,81.6528455284553,1.0052845528455379,,,,0,0,no_amr_surveillance_in_either_window,2005 to 2006,2010 to 2012,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,TUN,2019,75.27350000000001,76.423,1.149499999999989,,,,2,0,no_amr_surveillance_in_post_window,2017 to 2018,2022 to 2024,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,TUR,2008,73.9665,75.51533333333333,1.5488333333333344,,,,0,0,no_amr_surveillance_in_either_window,2006 to 2007,2011 to 2013,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,USA,2000,76.58170731707318,77.33739837398373,0.7556910569105497,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
PCV,Streptococcus pneumoniae,ZAF,2008,54.584,61.57566666666667,6.991666666666667,,,,0,0,no_amr_surveillance_in_either_window,2006 to 2007,2011 to 2013,descriptive_before_after_not_causal_did,v1,2026-07-08
