canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Candida glabrata,Micafungin,Echinocandin,ARG,2019,GI tract/bowel,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2020,Abscess (pus),1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2020,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2020,Plueral fluid,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2020,Tracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2020,Ureteral catheter,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2020,Wound/Drainage/Ulcer,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2021,Tracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2021,Urine/Urinary tract,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2022,Blood culture,5,5,5,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2022,Sputum,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2023,Bronchoalveolar lavage/wash,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2023,Tracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2024,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,ARG,2024,Sputum,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
