canonical_organism,canonical_drug,drug_class,dosing_variant,iso3_country,parsed_year,body_site,n_isolates_in_stratum,n_tested,n_resistant,n_intermediate,n_susceptible,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KHM,2016,CVS: Blood,5,5,2,0,3,1.0,0.4,0.4,0.0,0.4,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KHM,2016,Respiratory: Sputum,20,20,4,0,16,1.0,0.2,0.2,0.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KHM,2017,Respiratory: Sputum,5,5,3,0,2,1.0,0.6,0.6,0.0,0.6,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2017,HEENT: Middle ear,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2017,Respiratory: Transtracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2018,HEENT: Middle ear,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2019,CVS: Blood,5,5,0,0,5,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2019,HEENT: Middle ear,13,13,3,0,10,1.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2019,Respiratory: Bronchoalveolar lavage,4,4,1,0,3,1.0,0.25,0.25,0.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2019,Respiratory: Endotracheal aspirate,18,18,7,0,11,1.0,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2019,Respiratory: Other,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2019,Respiratory: Sputum,27,27,2,0,25,1.0,0.07407407407407407,0.07407407407407407,0.0,0.07407407407407407,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2020,Respiratory: Endotracheal aspirate,5,5,2,0,3,1.0,0.4,0.4,0.0,0.4,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,KWT,2020,Respiratory: Sputum,3,3,0,0,3,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,MAR,2016,Respiratory: Transtracheal aspirate,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,MAR,2017,Respiratory: Sputum,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
